Booking_id,booking_Date,Customer_id,age,Sex,Martial_status,Family_members,Infants,Occupation,State,City,Departure_date,Previous_trip_history,Trip_type,Purpose_of_Trip,Mode_of_transport,Payment_method,Total_spend_per_customer,Satisfaction_score,Destination_Place,Hotel_name,Hotel_rating,Days_of_stay,No._of_places_visited,Cab_services,Booking_channel,Meal_preference
1826,10-11-2020,684644,57,Female,Married,1,1,IT,Andhra Pradesh,Bapatla,08-12-2020,Yes,One_way,Business,Aeroplane,Cash,99635,6,Coorg, Lake Palace Resort                 ,9,1,1,Yes,Mobile Apps,No
1858,20-07-2020,746751,48,Male,Married,6,0,Arts,Andhra Pradesh,Nuzvid,17-08-2020,No,Round_trip,Education,Bus,Cash,108957,7,Mahabalipuram, The Himalayan                       ,8,1,1,No,Online Travel Agencies,No
1281,26-10-2022,804581,29,Female,Married,5,0,Students,Andhra Pradesh,Srikakulam,23-11-2022,No,One_way,Adventure,Ship,Debit_card,102170,6,Kanyakumari, Palais de Mahe                     ,7,4,3,No,Travel Agents,No
1642,09-02-2021,715196,33,Male,Married,6,1,Finance,Andhra Pradesh,Eluru,09-03-2021,No,One_way,Religious,Ship,Cash,145462,10,Madurai, The Grand Dragon Ladakh            ,6,1,2,No,Online Travel Agencies,No
2649,26-06-2021,801461,84,Female,Married,3,0,Government-sector,Andhra Pradesh,Visakhapatnam,24-07-2021,No,Round_trip,Leisure,Ship,Credit_card,94454,8,Varanasi," Evolve Back, Hampi                 ",10,3,1,Yes,Travel Agents,No
1349,12-07-2020,820202,28,Female,Married,1,1,Government-sector,Andhra Pradesh,Repalle,09-08-2020,No,Round_trip,Business,Ship,Debit_card,139512,10,Amritsar, Taj Madikeri Resort & Spa          ,10,4,4,Yes,Travel Agents,No
2096,12-01-2022,782736,39,Female,Married,4,1,Government-sector,Andhra Pradesh,Visakhapatnam,09-02-2022,No,Round_trip,Business,Aeroplane,Debit_card,95716,9,Amritsar, Radisson Blu Resort Temple Bay     ,9,4,1,No,Mobile Apps,Yes
1636,21-05-2020,654997,53,Female,Married,5,0,IT,Andhra Pradesh,Tadipatri,18-06-2020,Yes,One_way,Adventure,Ship,Cash,93238,7,Shimla, The Oberoi Vanyavilas              ,9,1,1,No,Travel Agents,No
2390,12-11-2020,809992,58,Male,Married,2,0,Finance,Andhra Pradesh,Repalle,10-12-2020,No,One_way,Religious,Bus,Cash,134006,9,Madurai, The Leela Kovalam                  ,9,3,3,Yes,Mobile Apps,No
1024,14-11-2020,878727,51,Female,Married,4,1,Arts,Andhra Pradesh,Anantapur,12-12-2020,Yes,Round_trip,Adventure,Ship,Credit_card,86037,7,Mysore, Mayfair Spa Resort & Casino        ,6,2,1,No,Travel Agents,Yes
1059,22-01-2023,725113,46,Female,Married,1,1,IT,Andhra Pradesh,Ongole,19-02-2023,Yes,Multi_city,Business,Bus,Credit_card,95687,9,Goa, The Lalit Temple View Khajuraho    ,7,4,4,No,Travel Agents,Yes
2340,10-11-2021,673612,35,Male,Married,4,0,IT,Andhra Pradesh,Tadepalligudem,08-12-2021,No,Multi_city,Business,Aeroplane,Cash,134399,6,Ooty, The Naini Retreat                  ,8,1,3,Yes,Mobile Apps,Yes
1126,27-07-2020,754561,81,Female,Married,5,0,Arts,Andhra Pradesh,Nellore,24-08-2020,Yes,Multi_city,Adventure,Ship,Cash,139446,9,Mahabalipuram, Taj Swarna                         ,7,2,1,Yes,Hotel Websites,Yes
1821,29-05-2020,665851,66,Male,Married,4,1,Government-sector,Andhra Pradesh,Tadipatri,26-06-2020,Yes,One_way,Business,Aeroplane,Cash,112331,9,Varanasi, Brunton Boatyard                    ,6,3,3,No,Mobile Apps,Yes
2970,25-03-2021,841922,64,Female,Married,4,0,Finance,Andhra Pradesh,Guntur,22-04-2021,Yes,One_way,Leisure,Aeroplane,Credit_card,132047,7,Amritsar, Royal Orchid Metropole             ,6,1,3,No,Mobile Apps,No
1159,09-09-2022,634787,39,Female,Married,2,1,Finance,Andhra Pradesh,Bapatla,07-10-2022,Yes,One_way,Religious,Ship,Debit_card,146071,10,Varanasi, Ananta Spa & Resort                ,7,3,1,Yes,Hotel Websites,No
2971,28-07-2021,787671,60,Female,Married,6,0,Students,Andhra Pradesh,Palakollu,25-08-2021,Yes,Round_trip,Education,Aeroplane,Credit_card,149709,10,Mysore, Kumarakom Lake Resort              ,8,3,2,Yes,Travel Agents,No
2298,09-12-2021,706443,40,Female,Married,6,0,Arts,Andhra Pradesh,Proddatur,06-01-2022,No,Round_trip,Education,Ship,Debit_card,138603,9,Mahabalipuram, RAAS Jodhpur                       ,7,2,3,Yes,Hotel Websites,Yes
1677,09-09-2021,701224,37,Male,Married,5,1,Finance,Andhra Pradesh,Dharmavaram,07-10-2021,Yes,Multi_city,Religious,Ship,Cash,79986,7,Amritsar, Punnamada Resort                   ,6,3,4,Yes,Meta-Search Engines,No
2477,31-12-2022,610313,28,Female,Married,6,1,IT,Andhra Pradesh,Anantapur,28-01-2023,Yes,Multi_city,Business,Ship,Cash,110928,7,Shimla, Mayfair Puri                       ,7,2,3,No,Travel Agents,Yes
2724,20-09-2022,867874,30,Female,Married,3,0,Government-sector,Andhra Pradesh,Srikakulam,18-10-2022,No,Multi_city,Business,Bus,Debit_card,101794,10,Amritsar, The Gateway Hotel Pasumalai        ,10,2,4,No,Meta-Search Engines,Yes
2748,21-07-2022,668210,49,Female,Married,4,1,Government-sector,Andhra Pradesh,Yemmiganur,18-08-2022,Yes,One_way,Leisure,Bus,Debit_card,87958,6,Varanasi, The Gopinivas Grand                ,9,2,4,No,Online Travel Agencies,Yes
2300,20-03-2021,873075,67,Female,Married,2,1,Arts,Andhra Pradesh,Eluru,17-04-2021,No,Round_trip,Education,Ship,Debit_card,77340,7,Mysore, Blue Sea Beach Resort              ,6,1,3,Yes,Hotel Websites,No
2592,16-11-2020,840962,36,Female,Married,6,0,Finance,Andhra Pradesh,Tuni,14-12-2020,Yes,Round_trip,Leisure,Ship,Cash,112937,10,Amritsar, The Carlton                        ,10,4,1,No,Mobile Apps,Yes
1994,01-12-2020,812490,37,Female,Married,6,1,Government-sector,Andhra Pradesh,Kakinada,29-12-2020,Yes,Multi_city,Business,Aeroplane,Credit_card,76137,10,Amritsar, Gateway Varkala                    ,7,2,2,No,Online Travel Agencies,Yes
1604,24-07-2020,781640,70,Male,Married,5,1,Arts,Andhra Pradesh,Gudivada,21-08-2020,No,Multi_city,Education,Ship,Cash,138280,10,Mysore, Kurumba Village Resort             ,7,1,2,Yes,Online Travel Agencies,Yes
1516,28-02-2023,847009,82,Male,Married,2,0,IT,Andhra Pradesh,Dharmavaram,28-03-2023,Yes,One_way,Adventure,Ship,Debit_card,79520,6,Goa, The World Backwaters               ,8,3,1,No,Meta-Search Engines,Yes
1673,15-12-2022,737527,69,Male,Married,3,1,Arts,Andhra Pradesh,Nandyal,12-01-2023,No,Multi_city,Adventure,Ship,Cash,79922,9,Mahabalipuram, Desert Tulip Hotel & Resort        ,9,3,3,No,Mobile Apps,No
2972,01-02-2022,779567,83,Female,Married,6,0,IT,Andhra Pradesh,Dharmavaram,01-03-2022,No,One_way,Adventure,Ship,Credit_card,148492,9,Goa, Cama Rajputana Club Resort         ,7,2,4,Yes,Meta-Search Engines,No
2904,04-12-2021,604780,70,Male,Married,4,1,Arts,Andhra Pradesh,Vijayawada,01-01-2022,No,Round_trip,Education,Ship,Credit_card,143429,10,Agra, The Gateway Resort Pushkar Bypass  ,10,2,3,Yes,Mobile Apps,No
2463,21-12-2020,718338,79,Male,Married,2,1,Finance,Andhra Pradesh,Madanapalle,18-01-2021,Yes,One_way,Business,Aeroplane,Cash,74373,6,Varanasi, Ravine Hotel                       ,10,1,3,No,Online Travel Agencies,Yes
2412,10-08-2021,753831,74,Male,Married,6,1,Finance,Andhra Pradesh,Guntur,07-09-2021,Yes,One_way,Leisure,Ship,Debit_card,144555,10,Varanasi, The Serai Chikmagalur             ,6,4,1,Yes,Mobile Apps,No
1644,05-09-2020,727527,55,Female,Married,6,1,IT,Andhra Pradesh,Chirala,03-10-2020,Yes,One_way,Business,Aeroplane,Cash,124573,7,Goa," ITC Mughal, a Luxury Collection Hotel ",6,1,2,No,Travel Agents,Yes
1242,02-03-2023,804348,72,Female,Married,1,0,Arts,Andhra Pradesh,Gudivada,30-03-2023,No,Multi_city,Adventure,Aeroplane,Credit_card,70292,8,Mysore, Taj Falaknuma Palace               ,8,1,3,Yes,Mobile Apps,Yes
1422,12-02-2022,883161,28,Female,Married,5,0,Students,Andhra Pradesh,Hindupur,12-03-2022,Yes,Multi_city,Adventure,Bus,Debit_card,70956,10,Mysore, Hilton Shillim Estate Retreat & Spa ,7,3,3,Yes,Mobile Apps,No
2511,01-02-2023,709572,78,Male,Married,5,1,Arts,Andhra Pradesh,Renigunta,01-03-2023,No,One_way,Adventure,Aeroplane,Credit_card,125979,6,Mysore, Aloha On The Ganges                ,10,2,3,Yes,Mobile Apps,No
2726,01-08-2021,876546,81,Female,Married,6,0,Government-sector,Andhra Pradesh,Tadepalligudem,29-08-2021,No,One_way,Leisure,Ship,Debit_card,94062,10,Varanasi, Ganga Kinare                       ,8,4,3,No,Online Travel Agencies,No
2574,31-07-2020,866723,55,Male,Married,5,0,Government-sector,Andhra Pradesh,Bapatla,28-08-2020,Yes,Round_trip,Business,Bus,Cash,92582,10,Varanasi, Taj Hari Mahal                     ,9,3,3,No,Hotel Websites,Yes
2495,03-10-2020,781361,76,Female,Married,6,0,Arts,Andhra Pradesh,Hindupur,31-10-2020,No,Round_trip,Adventure,Bus,Credit_card,89332,9,Mahabalipuram, Fairmont Jaipur                    ,6,1,4,Yes,Online Travel Agencies,No
1484,22-01-2023,667472,77,Male,Married,5,0,Arts,Andhra Pradesh,Bapatla,19-02-2023,No,Multi_city,Adventure,Ship,Cash,88598,7,Agra, Ri Kynjai                         ,9,3,3,No,Online Travel Agencies,No
1072,15-08-2022,807017,64,Male,Married,1,1,Finance,Andhra Pradesh,Chittoor,12-09-2022,Yes,Multi_city,Leisure,Bus,Debit_card,89006,10,Amritsar, The Oberoi Cecil                  ,6,3,1,Yes,Travel Agents,No
1611,15-08-2021,724117,63,Male,Married,2,0,Government-sector,Andhra Pradesh,Tirupati,12-09-2021,No,Round_trip,Leisure,Ship,Debit_card,108801,7,Varanasi, The Oberoi Grand                  ,9,2,4,No,Meta-Search Engines,Yes
1015,24-11-2020,631669,30,Male,Married,2,1,IT,Andhra Pradesh,Jaggayyapeta,22-12-2020,No,One_way,Business,Ship,Cash,115514,9,Ooty, Radisson Blu Resort & Spa Alibaug  ,7,3,1,Yes,Hotel Websites,No
1639,05-06-2021,640715,85,Female,Married,5,0,Government-sector,Andhra Pradesh,Sullurpeta,03-07-2021,No,Round_trip,Business,Aeroplane,Cash,125795,7,Srinagar, Swaswara                          ,10,2,3,No,Hotel Websites,Yes
1363,05-05-2020,679797,32,Female,Married,5,1,Finance,Andhra Pradesh,Chilakaluripet,02-06-2020,No,Round_trip,Religious,Bus,Credit_card,70397,9,Amritsar, The Gateway Hotel Church Road     ,6,3,2,No,Meta-Search Engines,Yes
1660,14-10-2020,668731,42,Female,Married,2,0,IT,Andhra Pradesh,Guntur,11-11-2020,Yes,Multi_city,Adventure,Aeroplane,Cash,95454,10,Goa, Chariot Beach Resort               ,7,4,1,Yes,Hotel Websites,Yes
1464,28-05-2020,894843,84,Female,Married,6,1,Arts,Andhra Pradesh,Guntur,25-06-2020,No,Round_trip,Education,Aeroplane,Credit_card,79765,9,Mysore, The Tamara Kodai                  ,10,1,1,Yes,Mobile Apps,Yes
1992,11-11-2021,756571,38,Male,Married,4,0,Students,Andhra Pradesh,Chittoor,09-12-2021,Yes,One_way,Adventure,Aeroplane,Credit_card,104555,6,Cochin, Vivanta Trivandrum                 ,9,4,2,No,Hotel Websites,Yes
1653,11-05-2020,840102,61,Female,Married,5,1,Arts,Andhra Pradesh,Chilakaluripet,08-06-2020,Yes,One_way,Education,Ship,Credit_card,88800,6,Mahabalipuram, Vythiri Village                    ,8,4,1,No,Travel Agents,No
2277,15-11-2021,762572,28,Female,Married,5,1,IT,Andhra Pradesh,Renigunta,13-12-2021,No,Multi_city,Adventure,Ship,Credit_card,119097,6,Ooty, Chandys Windy Woods               ,8,1,1,Yes,Online Travel Agencies,No
2879,06-08-2022,654720,78,Male,Married,5,0,Arts,Andhra Pradesh,Palakollu,03-09-2022,No,Multi_city,Education,Ship,Debit_card,129102,8,Agra, Taj Wellington Mews Luxury Residences ,8,3,1,No,Mobile Apps,No
2037,25-11-2021,710921,47,Male,Married,5,1,IT,Andhra Pradesh,Sullurpeta,23-12-2021,No,Round_trip,Adventure,Aeroplane,Debit_card,82831,7,Shimla, Vivanta Sawai Madhopur Lodge      ,7,1,2,No,Online Travel Agencies,No
2428,11-07-2021,756730,48,Female,Married,3,0,Government-sector,Andhra Pradesh,Tenkasi,08-08-2021,No,Multi_city,Business,Aeroplane,Cash,130201,10,Varanasi, Citrus Retreats Alleppey          ,10,1,3,Yes,Meta-Search Engines,Yes
1326,01-06-2022,660589,37,Male,Married,5,0,Government-sector,Andhra Pradesh,Renigunta,29-06-2022,Yes,Multi_city,Leisure,Ship,Credit_card,106787,8,Varanasi, Cedar Inn                         ,10,2,2,Yes,Mobile Apps,Yes
1578,13-11-2022,727850,64,Female,Married,6,1,Finance,Andhra Pradesh,Nuzvid,11-12-2022,No,Round_trip,Leisure,Ship,Cash,81134,7,Amritsar, The Gulaal                       ,6,2,3,Yes,Hotel Websites,No
1472,19-05-2023,841789,82,Female,Married,2,1,IT,Andhra Pradesh,Narasaraopet,16-06-2023,Yes,One_way,Business,Ship,Cash,123798,6,Coorg, Trident Agra                     ,6,2,4,Yes,Online Travel Agencies,Yes
1640,10-06-2022,679591,48,Female,Married,6,0,Government-sector,Andhra Pradesh,Kovvur,08-07-2022,Yes,Round_trip,Business,Ship,Debit_card,90032,6,Varanasi, The Leela Palace Udaipur         ,9,1,1,No,Travel Agents,Yes
2006,05-09-2021,852515,51,Male,Married,2,1,IT,Andhra Pradesh,Kurnool,03-10-2021,No,Round_trip,Business,Aeroplane,Debit_card,99993,10,Ooty, Brijrama Palace                  ,8,2,4,No,Hotel Websites,No
1023,31-07-2021,608269,49,Female,Married,5,0,Government-sector,Andhra Pradesh,Chittoor,28-08-2021,No,Round_trip,Business,Aeroplane,Credit_card,134837,6,Varanasi, Radisson Blu Hotel Amritsar      ,6,1,1,No,Travel Agents,Yes
1401,09-07-2021,662242,81,Female,Married,4,0,Government-sector,Andhra Pradesh,Peddapuram,06-08-2021,Yes,Round_trip,Leisure,Bus,Credit_card,133805,8,Amritsar, The Lalit Grand Palace Srinagar  ,6,1,1,Yes,Mobile Apps,No
1502,15-11-2020,737836,33,Female,Married,2,0,Government-sector,Andhra Pradesh,Pithapuram,13-12-2020,Yes,Round_trip,Leisure,Ship,Credit_card,124746,8,Varanasi, Vivanta by Taj - Green Cove      ,7,1,3,Yes,Mobile Apps,No
1462,01-11-2021,651593,59,Female,Married,4,0,Finance,Andhra Pradesh,Kakinada,29-11-2021,Yes,Round_trip,Leisure,Bus,Cash,106036,9,Madurai, Clarks Inn Hampi                 ,9,2,4,Yes,Hotel Websites,Yes
2860,28-05-2022,759837,44,Female,Married,1,0,Finance,Andhra Pradesh,Ponnur,25-06-2022,Yes,Multi_city,Religious,Bus,Debit_card,120061,10,Amritsar," Orange County, Coorg             ",7,3,1,Yes,Travel Agents,Yes
2260,20-10-2022,636065,80,Female,Married,5,1,Arts,Andhra Pradesh,Yemmiganur,17-11-2022,No,One_way,Education,Bus,Credit_card,88982,7,Agra, Grand Mercure Mysuru             ,7,2,4,Yes,Online Travel Agencies,No
2699,27-11-2020,638709,61,Male,Married,4,1,Arts,Andhra Pradesh,Repalle,25-12-2020,No,Multi_city,Education,Bus,Cash,149864,9,Mahabalipuram, Taj Umaid Bhawan Palace          ,10,2,3,Yes,Mobile Apps,No
2528,15-09-2022,612430,33,Male,Married,1,1,Government-sector,Andhra Pradesh,Nellore,13-10-2022,No,Multi_city,Leisure,Ship,Credit_card,140001,9,Amritsar, Trident Jaipur                   ,9,2,3,Yes,Hotel Websites,Yes
1302,15-01-2021,653082,57,Male,Married,2,0,Government-sector,Andhra Pradesh,Bapatla,12-02-2021,No,Round_trip,Business,Ship,Debit_card,94154,9,Amritsar, Alleppey Beach Resorts           ,10,3,2,Yes,Travel Agents,No
1744,31-08-2022,844000,57,Female,Married,1,0,Students,Andhra Pradesh,Rayachoti,28-09-2022,Yes,Round_trip,Education,Aeroplane,Credit_card,136341,8,Kanyakumari, Kochi Marriott Hotel             ,9,2,2,No,Hotel Websites,No
2155,30-09-2021,631054,27,Female,Married,1,1,IT,Andhra Pradesh,Visakhapatnam,28-10-2021,No,Multi_city,Business,Ship,Cash,88364,10,Goa, Toshali Sands                    ,10,1,3,Yes,Hotel Websites,No
2032,15-02-2021,669654,68,Female,Married,3,1,IT,Andhra Pradesh,Tirupati,15-03-2021,Yes,Round_trip,Business,Bus,Debit_card,92012,10,Shimla, The Seashore Hotel               ,9,2,4,No,Hotel Websites,Yes
1071,24-12-2022,608753,78,Female,Married,5,1,Government-sector,Andhra Pradesh,Amalapuram,21-01-2023,Yes,Multi_city,Leisure,Aeroplane,Debit_card,90082,6,Amritsar, Sterling Ooty Elk Hill           ,6,1,2,Yes,Travel Agents,No
1941,19-05-2023,826619,58,Female,Married,2,0,Finance,Andhra Pradesh,Sullurpeta,16-06-2023,Yes,Round_trip,Leisure,Bus,Debit_card,119313,8,Varanasi, Hotel Ganesha Inn                ,8,1,1,No,Online Travel Agencies,Yes
1503,02-12-2022,704353,49,Female,Married,4,0,Finance,Andhra Pradesh,Renigunta,30-12-2022,No,Multi_city,Religious,Bus,Debit_card,143937,7,Amritsar, Acron Waterfront Resort          ,9,4,1,Yes,Hotel Websites,No
1520,13-08-2021,878362,75,Female,Married,6,0,Students,Andhra Pradesh,Narasapuram,10-09-2021,Yes,Round_trip,Adventure,Aeroplane,Cash,109853,6,Mysore, Hotel Ishan                     ,8,2,1,Yes,Travel Agents,No
2362,20-06-2021,724558,51,Female,Married,4,0,Arts,Andhra Pradesh,Palakollu,18-07-2021,No,One_way,Adventure,Aeroplane,Credit_card,126833,9,Mahabalipuram, Samode Palace                    ,8,1,4,No,Hotel Websites,No
1619,25-04-2022,693744,32,Female,Married,6,1,Students,Andhra Pradesh,Palakollu,23-05-2022,Yes,Round_trip,Education,Bus,Cash,123373,8,Cochin, Tea Valley Resort                ,8,3,1,No,Travel Agents,No
1102,28-01-2023,840233,79,Female,Married,4,0,Arts,Andhra Pradesh,Renigunta,25-02-2023,Yes,Round_trip,Education,Bus,Credit_card,135268,10,Mahabalipuram, Manuallaya Resorts & Spa         ,9,4,4,No,Hotel Websites,Yes
1468,29-08-2022,827779,30,Male,Married,6,1,Finance,Andhra Pradesh,Chirala,26-09-2022,No,Round_trip,Religious,Bus,Cash,148004,7,Amritsar, Courtyard by Marriott Agra       ,8,1,3,No,Meta-Search Engines,No
1709,28-11-2021,810942,72,Female,Married,6,0,Finance,Andhra Pradesh,Tadipatri,26-12-2021,Yes,One_way,Leisure,Ship,Cash,114386,10,Varanasi, Clarkes Hotel                    ,10,4,2,No,Online Travel Agencies,Yes
2552,14-10-2020,631548,60,Female,Married,3,0,IT,Andhra Pradesh,Chilakaluripet,11-11-2020,Yes,Round_trip,Adventure,Bus,Cash,138186,9,Shimla, Jaisalmer Marriott Resort & Spa  ,8,2,3,No,Mobile Apps,Yes
1433,19-11-2022,803208,55,Female,Married,6,0,Finance,Andhra Pradesh,Nuzvid,17-12-2022,No,One_way,Religious,Bus,Debit_card,114055,8,Varanasi, Fateh Prakash Palace             ,9,2,3,Yes,Travel Agents,No
1444,20-04-2022,797495,50,Male,Married,6,1,Government-sector,Andhra Pradesh,Chirala,18-05-2022,Yes,Multi_city,Leisure,Ship,Cash,146529,9,Srinagar, Hyatt Amritsar                  ,8,2,3,Yes,Mobile Apps,No
1484,22-08-2020,872771,55,Female,Married,6,0,Arts,Andhra Pradesh,Kovvur,19-09-2020,No,Multi_city,Education,Aeroplane,Debit_card,138225,6,Agra, Hotel Omasila                   ,6,2,4,Yes,Meta-Search Engines,No
1593,03-11-2020,625716,47,Female,Married,4,0,Arts,Andhra Pradesh,Machilipatnam,01-12-2020,Yes,One_way,Education,Bus,Cash,118083,10,Agra, Le Pondy                        ,8,4,4,Yes,Mobile Apps,Yes
2033,29-07-2021,746122,68,Male,Married,6,0,Students,Andhra Pradesh,Sullurpeta,26-08-2021,Yes,Round_trip,Education,Ship,Cash,123723,8,Mysore, Riverine Resort                 ,10,4,3,No,Mobile Apps,No
2264,26-05-2020,754002,47,Female,Married,2,1,Arts,Andhra Pradesh,Srikakulam,23-06-2020,No,Round_trip,Adventure,Bus,Credit_card,108034,7,Mahabalipuram, Hotel Viceroy                   ,9,1,4,No,Online Travel Agencies,Yes
1383,01-12-2021,821563,55,Male,Married,6,0,Arts,Andhra Pradesh,Rayachoti,29-12-2021,No,One_way,Adventure,Bus,Credit_card,135210,8,Mysore, Taj Fort Aguada Resort & Spa    ,10,3,3,Yes,Meta-Search Engines,No
1435,09-02-2022,763862,44,Female,Married,6,1,IT,Andhra Pradesh,Nandyal,09-03-2022,No,Multi_city,Business,Ship,Credit_card,113910,6,Goa, Oberoi Cecil                    ,8,2,3,No,Meta-Search Engines,Yes
1829,05-06-2021,606741,30,Female,Married,5,0,Finance,Andhra Pradesh,Anantapur,03-07-2021,No,One_way,Religious,Bus,Credit_card,97450,10,Varanasi, Suryagarh                       ,8,3,3,Yes,Meta-Search Engines,No
1101,28-04-2022,646077,64,Female,Married,3,1,Students,Andhra Pradesh,Chilakaluripet,26-05-2022,Yes,One_way,Education,Ship,Cash,81550,8,Cochin, Oberoi Udaivilas                ,8,1,4,No,Mobile Apps,No
2730,03-05-2021,655489,38,Male,Married,2,0,IT,Andhra Pradesh,Narasapuram,31-05-2021,No,Multi_city,Adventure,Ship,Debit_card,129891,10,Shimla, Oberoi Amarvilas                ,7,3,1,No,Hotel Websites,No
1433,29-03-2021,879298,45,Female,Married,1,1,Finance,Andhra Pradesh,Bheemunipatnam.,26-04-2021,Yes,Multi_city,Business,Aeroplane,Debit_card,99893,9,Madurai, Taj Nadesar Palace              ,7,3,3,Yes,Hotel Websites,No
1815,20-06-2021,893729,51,Male,Married,5,0,Arts,Andhra Pradesh,Machilipatnam,18-07-2021,Yes,Multi_city,Adventure,Aeroplane,Credit_card,94359,7,Mysore, Windermere Estate               ,7,4,4,Yes,Meta-Search Engines,Yes
1011,23-09-2021,633664,70,Male,Married,4,1,Government-sector,Andhra Pradesh,Nellore,21-10-2021,No,Multi_city,Business,Aeroplane,Credit_card,88352,8,Srinagar, Ananda in the Himalayas         ,8,2,1,No,Online Travel Agencies,No
2092,06-05-2020,849246,73,Female,Married,2,1,Government-sector,Andhra Pradesh,Gudur,03-06-2020,Yes,Round_trip,Leisure,Bus,Debit_card,135592,10,Amritsar, Savoy - IHCL SeleQtions         ,8,1,2,No,Mobile Apps,No
2513,01-04-2021,666640,63,Female,Married,4,1,Arts,Andhra Pradesh,Bhimavaram,29-04-2021,No,Multi_city,Adventure,Aeroplane,Debit_card,79802,8,Mahabalipuram, Mayfair Darjeeling              ,9,2,1,Yes,Online Travel Agencies,No
1032,18-12-2022,720686,39,Female,Married,5,0,Students,Andhra Pradesh,Renigunta,15-01-2023,No,Multi_city,Adventure,Aeroplane,Cash,129314,10,Mysore, Gorbandh Palace                 ,10,2,4,No,Travel Agents,No
1802,10-08-2020,603559,56,Male,Married,3,0,Government-sector,Andhra Pradesh,Guntur,07-09-2020,No,Multi_city,Business,Ship,Credit_card,137871,10,Srinagar, Deshadan Backwater Resort       ,6,4,4,Yes,Mobile Apps,No
2985,25-08-2022,896441,80,Female,Married,3,1,Government-sector,Andhra Pradesh,Bapatla,22-09-2022,No,One_way,Leisure,Ship,Cash,110776,6,Amritsar, Solang Valley Resort            ,8,4,4,No,Meta-Search Engines,Yes
1497,01-07-2022,638199,34,Male,Married,3,0,IT,Andhra Pradesh,Kavali,29-07-2022,Yes,Multi_city,Business,Aeroplane,Cash,72602,10,Goa, The Promenade                   ,7,1,1,No,Meta-Search Engines,No
1267,26-06-2022,841442,43,Male,Married,5,1,Students,Andhra Pradesh,Renigunta,24-07-2022,No,Round_trip,Adventure,Bus,Credit_card,115283,8,Kanyakumari, Hotel Grand Himalaya            ,9,3,4,Yes,Mobile Apps,Yes
1182,26-02-2023,681999,45,Male,Married,1,1,Government-sector,Andhra Pradesh,Tenali,26-03-2023,No,Multi_city,Leisure,Aeroplane,Credit_card,86645,7,Amritsar, Dewa Retreat                   ,10,2,4,No,Online Travel Agencies,No
